text,label
i feel cheated and at another i feel ashamed to have missed such a glaring defect,0
i television of the feelings and so called suffering of the arabs whose homes are being inspected because of the chance they are hiding arab terrorists or something of the kidnapped boys,0
i always feel triumphant when my recycling bin is brimming over and my garbage bin contains only household scraps,3
i think my taiko experience so far has been at the root of my feeling dissatisfied and somewhat unhappy lately but theres just something else that i havent been able to explain,2
im in the middle of my conversion to understanding the gospel and sometimes it feels very much like an identity crisis so please bear with me as i am very timid in this new role and life,4
i think that in this way though the readers will most likely agree with what i wrote and hopefully feel more passionate about scientific research,1
i can feel the ice cold water freezing my insides especially coming in through the bottom of my feet and the numbness starts,2
i already did feel deprived when after claire was born i reacted to the epidural and experienced extreme shakes for a couple of hours and was unable to hold her during that special quiet alertness newborns experience,0
i really have much of a clue how my ex actually feels or felt about anything really except that he hated it when i didnt screw the lids back on jars in the kitchen,2
i could smell the chlorine feel my aching muscles see my portly mustached coach and prepubescent teammates and hear the whistles and hollers from the parents in the stands,0
i for one am feeling a bit anxious at how long we are staying but i know we need to do this,4
i am feeling pretty guilty about posting pictures of some stray cat i cuddled on the street and not even posting pictures of my own two cats,0
i know how i feel about spamming when it happens to me and i was not impressed,5
i do feel very excited about travelling because it s not often that i get to travel and it s definitely not often that i get to do it for free,3
i feel disgusted by u,2
i feel this isn t part of the agreement this isn t the casual friendship we built up to make being around each other bearable,3
i silently chant feeling the calm beginning to return,3
im feeling artistic here are a couple of drawings i did in the dust on ms car after it rained a couple of months ago,3
i dropped back to sleep for an hour or two and had very realistic peculiar dreams which are now stuck in my head making me feel a bit dazed,5
i guess i could have done so many things before giving up i suppose i feel so content with loosing that like with the rest of things that should matter in this world i just dont care,3
i feel nay am gorgeous on the right track getting good grades making people happy mildly talented a good cook have a very good ear for musical notes love anime have people who care about me idiots and have a life i can do something with,3
i can t tell you how awful that comment made me feel its not supportive it s condescending,1
i just feel like all my efforts are in vain and a waste of time,0
i feel idiotic calling again though,0
i can sometimes feel the stares i get when i dont show the tears or emotions in a tender moment or even in a difficult time,1
i feel the need to write i always want to write in a clever way,3
ive been feeling mellon collie aka melancholy the past few days and i,0
im feeling very bitchy about this episode in general,2
i think im mad at myself for just feeling this jaded after only five months of nursing,0
i am feeling so proud,3
i from behind she could practically feel his outraging distress which amused her slightly,3
i can talk to her about almost anything i want to and she just listens and she doesnt make me feel like a whiney brat and she helps me sort my thoughts and make decisions while keeping me where she feels im safe,0
i owned yet did not feel fully welcomed i decided to reach out to hans among others sending an email to his old inbox even though we had not communicated in over ten years,3
i feel like i am an island of pain and i need to be isolated from them all so i dont contaminate them with my sadness,0
i feel so foolish and cross with myslef,0
i would come home and pour a glass of wine sulk in my feelings until the sweet rest of intoxication took over and sleep pulls me into her bosom,1
i spent the last two weeks feeling very afraid,4
im on a double at work i wasnt feeling overly sociable when i met my new roommate so i hope she doesnt think im a complete bitch,3
i must say that i do feel better in myself and im really excited about reaching views for my beloved blog i love wearing tights,3
i saw him on galaxies magazine i feel curious why this singer is so famous,5
im starting to feel unwelcome in there,0
i don t always feel quite as graceful but that s a story for another time,3
i feel extremely intimidated,4
i was feeling a little sentimental,0
i honestly feel at heart we should be faithful to each other if its yo girl,1
i feel so much love for him and he is so supportive,1
im feeling inspired today,3
im having a picnic feeling a little playful,3
i feel naughty saying how beautiful it was feeling that heat on my bones yesterday,1
i legislators certainly feel they need this protection given the fact that car bombings blamed on al qaeda in iraq continue to hit iraqi cities and the parliamentary building itself was bombed in by a suicide bomber though not a vehicle bomb,0
i feel that he was being overshadowed by the supporting characters,1
i am not feeling very joyful today its been a rough day,3
i suppose a couple days of not feeling so hot is better than whooping cough the visit went really well,1
i feel like if your going to fall in love with an object then you need to at least make it a useful one like a vibrator or a dildo,3
i feel shamed in a way but in another way i just dont care anymmore,0
i feel lucky to have escaped without worse consequences,3
i feel this way about blake lively,3
i didn t feel abused and quite honestly it made my day a little better,0
i don t know i feel really helpless about it,4
i feel dazed and empty and like somthing is missing in my brain,5
i feel i have to do its my creative calling my lifes passion,3
i couldn t help but feel as if rin was not as strong as a protagonist as isi enna or razo i did end up finding a lot to like in forest born,3
i feel so helpless when i look out at the world,4
i get really frustrated whenever i talk with them i also feel compassionate toward them because they believe so passionately in things that are just dead wrong and frankly dont make sense,1
im feeling more generous its intelligent background music that sounds much better in a large living room than in the confined space of the car or worse still on your walkman,3
i feel like that i should be loyal to microsoft for the rest of my life now,1
im feeling quite optimistic but im still keeping my fingers crossed,3
i will be happy when someone i know from across the internet feels happy as well,3
i did not even think to put shoes on i walked on the snow and could feel warmth from the divine love emanating from his spirit,3
i came home with these bits and bobs feeling very pleased with myself and ready for some sunny british weather,3
i don t like it when things feel as if they re being rushed,2
i feel myself becoming vicious once more,2
i was doing okay even done some enclosed seams and was feeling quite proud of myself until i realised id done the seams too big,3
i can feel a sense of comfort with nostalgic sweetness,1
i can t write because i feel afraid that my silly little thoughts are not enough to help you,4
i don t always feel like i have amazing style and most days i choose comfort over anything else but there is one thing that i feel makes all the difference in how i feel about myself and that is makeup,5
i do like that but it just makes me feel so unimportant,0
i feel very privileged you did and i hope you stay awhile and comment if you want to,3
i feel very privileged to watch such beautiful dancers move and call it work,3
i was living with when i first started coming to the gatherings on sunday mornings i feel quite fearless now,3
i sit here at munching on vegetables hummus and ranch i am feeling very distraught,4
i started to see a concerning pattern i d rush home at the end of the evening s activities to write out a post sometimes i d be feeling frustrated and flustered while sometimes i was eager and inspired,2
i have now synced it with my itunes and feel delighted that music will be more accessible to me no matter where i am and can once again feature heavily in my life,3
i go around people and i act normal but it feels strange,5
ill admit there is definitely some sort of testosterone laden feeling of accomplishment in being a fucking savage helping women who cannot control a way unruly crowd,2
i feel grumpy i am short with my wife or children,2
i feel like im perpetually half watching a sad movie,0
i am so thankful for my dream i started drawing again made me feel talented and framed my dream i can go after whatever i want,3
im feeling pretty resentful,2
i was feeling pret t y tender let me tell you,1
i feel like i am now at an age where it is not as socially acceptable to hang with the guys haha and i have to force myself to make conversation with their wives girlfriends,3
i am feeling so comfortable and so happy he says,3
i enjoyed it for the most part for an entertainment value due to it being a fast and mostly fun read i also had several qualms with it at the same time that left me feeling dissatisfied,2
i feeling so aggravated about all of this,2
i do reviews only on my personal experience please do not feel insulted or put off by my words i intend only to advise,2
i do feel more productive when the sun shines,3
i am a big believer in the phrase that some people are all style no substance and i feel that if you have nothing worthwhile to say just dont say it,3
i often feel dissatisfied when i don t have at least one project going on,2
i feel unbearably tortured knowing that im helpless i cant invade north korea and take down kim jong un i cant actually save the world,4
i wish there was something i could do sitting here in the midwest i feel so helpless,4
im feeling hopeful about a great deal of things which is a good thing,3
i said it when i read about people who are loosing more weight losing it quicker or who are just being generally more fabulous than me i feel envious,2
i anticipated feeling ecstatic jubilant over the moon wired giddy,3
i actually just took a two hour break because i was feeling too pissed to keep writing,2
i cant get sleep she said irritated i am feeling cold,2
i have been feeling suitably punished,0
i assure you marilla that i feel like praying tonight and im going to think out a special brand new prayer a href http www,3
i don t know when i will want to tell her and feel guilty and disappointed that everything i am thinking about her and our relationship right now is negative,0
i admit that there is a sort of a mexigoth feel or vibe to it which i am fond of,1
i think youre being a dick bitch id just walk away instead of laying out everything i feel when im pissed i shut down and look out the window in steely silence,2
i sure feel triumphant lately,3
i feel so impressed by a dental work in front of me as well as a cost which we am deliberation suicide,5
i feel really dumb and stupid for doing this,0
im back and feeling creative,3
i find that despite the fact that i feel like i really liked this book i certainly read through the entire thing like i had a physical need to find out what happens next i cant think of anything to say about it,1
i told my colleagues in the qa team that after knowing almost everything in the floor back when i was an agent now i feel like im a kid curious of almost everything,5
i party darling don t close ss ur eyes just look at me wll feel hotest body excotick beaty between in my to leg s will be yummyy and u wll be deisire just take a horny enjoin movie record,1
i am feeling stressed like that is to the water,2
i think its cos its a bit stormy out i always feel irritable and uncomfortable when its like that,2
i stand next to her feeling less than glamorous in my baseball t shirt levi s and black sneakers,3
i passed an exam that i was absolutely certain that i had failed,3
im saying i feel fake,0
i feel like its rude to ignore people,2
i feel really special and important,3
im feeling more fucked up than last night,2
i suffer this kind of exhaustion i feel useless,0
i have a feeling often and often that its dangerous to wait for things that if you wait for things they only go further and further away,2
i dont know whats wrong with me i try studying but i just feel like im fluffing around and getting distracted all the time,2
i agree with that overall life philosophy but sometimes people and even kids need their negative emotions acknowledged so that they don t feel ignored and negated in what they are truly feeling,0
i dont see how we can move beyond it but then rarely do i feel this uncertain about things,4
ive been hiding my eyes between tight hands raising my arms shouting and cursing and feeling passionate,1
i can run i can dress up in public for fun and i can be the center of attention without feeling humiliated,0
im lazy my characters fall into categories of smug and or blas people and their foils people who feel inconvenienced by smug and or blas people,3
i feel angered by this and confused on how she could remarry already and especially to my father s own brother,2
i and feel quite ungrateful for it but i m looking forward to summer and warmth and light nights,0
i feel wonderful shayla admitted,3
i wasnt feeling it and i didnt want to fake it,0
i somehow feel more insecure than ever about explaining my research,4
i didn t consider that she maybe had difficulty in feeling accepted into a certain group of people and she was afraid of being rejected,1
im feeling a bit needy i keep thinking i would appreciate any attention but of course that is not true,0
i feel like such a goof ball for the things i am curious about but i see life as this adventure that i get to embark on and i want to squeeze every ounce of good from it,5
i think it goes back to never feeling accepted when i was growing up a learned internal diatribe i need to let go of,3
i feel as if i am being punished for using your adsense and affiliate products and for the success of my website,0
i severed i feel suddenly empty much smaller and oh so tired,0
i have just moved here and already i feel welcomed,3
i feel they are amazing unique people and i love them so very much,5
i feel practically virtuous this month i have not exceeded my target of only buying things,3
i got there i didnt feel too bad i didnt feel much different if im honest,0
ive never had a maternal instinct a feeling of broodiness nor have the urge to say aww he she is so cute when an of course kicking and screaming little brat is in the room,3
i to candy factory it was clearly a tourist production line but it didn t feel unpleasant or hurried just well planned and professional an interesting and picturesque visit,0
i say but freedom i feel alone,0
i guess in non metaphoric terms i seem grumpy unhappy unfeeling and bitchy,2
im feeling generous ill show you when its done,1
i feel suck mad and sad,2
i wanted to pen it down for memory sake but i was still feeling extremely emotional days after the episode and had no idea how to start,0
i feel not just attracted to but completely enthralled and captivated by him like hes some kind of other worldly creature with nothing inside him but a really bright light,5
i feel lovely inside,1
i woke up feeling ecstatic for about seconds and then reality hit and it just made me all upset again,3
i cant find it and yet i feel that i am longing for something,1
i also feel very nostalgic about all these highschool memories,1
i feel so hopeless and unloved and unwanted,0
im quite bored but feel intelligent for no real apparent reason,3
i feel a tad bit envious of my younger self i was in great running shape young and had my whole life ahead of me,2
i feel peaceful with them being where they are but miss them like crazy i get giddy from the picture texts and random phone calls,3
i feel like it will not be as good if i do it early,3
when going to the exam,4
i feel less keen about the army every day,3
i never knew i could be so weak i couldnt even fight what i was feeling i knew i hated to feel that way yet i just let the emotions run free i acted waaay childishly like a child deprived of candies,2
im feeling rejected,0
i feel like love should be messy,0
i would pick out for myself but i will give them a try when i am feeling adventurous,3
i have arrived home feeling some remorse and a bit troubled,0
im feeling a little better and with more christmas spirit i thought that by this date id had all my christmas decorations up but im not finish even with the lights,3
